artist,title,year,country,format,label,discogs_low_price,copies_for_sale_on_discogs,status
Midnite Snaxxx,Midnite Snaxxx,2012,Germany,"Vinyl, LP, Album",Red Lounge Records – RLR 098,10.33,8,New Submission
Authorities*,Soundtrack For Trouble,2011,US,"Vinyl, 7"", 33 ⅓ RPM, Reissue White","Get Hip Recordings – GH-246CV, Get Hip Recordings – GH-246",,,
Stiff Little Fingers,Gotta Gettaway,1979,UK,"Vinyl, 7"", 45 RPM, Single","Rough Trade – RT 015, Rigid Digits – RT 015",5.08,28,Recently Edited
Hitler SS,Skate Like Elvis,2007,Italy,"Vinyl, LP, Compilation, Numbered Gatefold","Big Star Rolling Records – BSR 03, Big Star Rolling Records – BIG STAR ROLLING 003",19.02,6,Recently Edited
Channel 3 (2),I've Got A Gun,1982,UK,"Vinyl, 7"", EP Thin Paper Sleeve",No Future Records – Oi 11,30.60,8,
The Leather Nun,Slow Death EP,1979,UK,"Vinyl, 7"", EP, 33 ⅓ RPM",Industrial Records – IR0006,21.84,11,New Submission
Nervebreakers,Politics EP,2011,US,"Vinyl, 7"", 33 ⅓ RPM, EP, Reissue",Get Hip Recordings – GH-248,8.99,2,
The Valves,Robot Love & For Adolfs' Only,1977,UK,"Vinyl, 7"", Single",Zoom Records – ZUM 1,4.04,38,
Riff Raff (6),I Wanna Be A Cosmonaut,1978,UK,"Vinyl, 7"", 45 RPM, EP",Chiswick Records – SW 34,50.57,7,
Defiant Pose,Defiant Pose,1981,UK,"Vinyl, 7"", 45 RPM","Groucho Marxist Record Co:Operative – COMMUNIQUE 4, Groucho Marxist Record Co:Operative – WH 4",37.82,1,
Various,Aylesbury Goes Flaccid,1978,UK,"Vinyl, LP, Compilation",Flaccid Records – FLAC 1,13.51,8,New Submission
Various,Vancouver Complication,2007,Italy,"2 x Vinyl, LP, Compilation, Reissue",Rockin' Bones – RON060,34.48,3,New Submission
The Nips 'n' Nipple Erectors,"Bops, Babes, Booze & Bovver",1987,UK,"Vinyl, LP, Compilation","Big Beat Records – WIKM 66, Soho Records – WIKM 66",24.14,9,Recently Edited
Peter And The Test Tube Babies,Run Like Hell,1982,UK,"Vinyl, 7"", 45 RPM, Single",No Future Records – OI 15,6.20,31,Recently Edited
The Eyes* / The Controllers* / The Skulls (3),Don't Talk To Me / (The Original) Neutron Bomb / Victims,2003,US,"Vinyl, 7"", 45 RPM, EP, Reissue","What Records? – WHAT EP 03, Bacchus Archives – BA1187",20.00,4,New Submission
The Rotters,Pull It And Yell,2000,US,"Vinyl, LP, Compilation",Bacchus Archives – BA1145,18.28,11,New Submission
Spizzenergi,Where's Captain Kirk?,1980,UK,"Vinyl, 7"", 45 RPM, Single, Reissue",Rough Trade – RTSO 4,10.73,10,
